Date,Start_Hour,End_Hour,Source,Day_of_Year,Day_Name,Season,Production
9/4/2024,14,15,Solar,248.0,Wednesday,Fall,4253
5/26/2020,18,19,Wind,147.0,Tuesday,Spring,6277
1/20/2021,15,16,Wind,20.0,Wednesday,Winter,14624
1/30/2025,7,8,Wind,30.0,Thursday,Winter,5813
12/31/2023,15,16,Wind,365.0,Sunday,Winter,18435
3/7/2022,0,1,Wind,66.0,Monday,Spring,7417
2/21/2025,22,23,Wind,52.0,Friday,Winter,12234
6/1/2022,19,20,Wind,152.0,Wednesday,Summer,2649
5/13/2021,15,16,Solar,133.0,Thursday,Spring,5509
12/8/2021,8,9,Wind,342.0,Wednesday,Winter,7536
12/10/2022,7,8,Wind,344.0,Saturday,Winter,1455
9/24/2021,16,17,Solar,267.0,Friday,Fall,3933
2/14/2024,20,21,Wind,45.0,Wednesday,Winter,7478
9/3/2020,7,8,Wind,247.0,Thursday,Fall,2032
6/6/2024,xyz,2,Wind,158.0,Thursday,Summer,1268
6/22/2024,1,2,Wind,174.0,Saturday,Summer,5101
4/21/2021,5,6,Wind,111.0,Wednesday,Spring,1068
9/25/2022,8,9,Wind,268.0,Sunday,Fall,3110
2/25/2023,18,19,Wind,56.0,Saturday,Winter,8199
10/17/2022,6,7,Wind,290.0,Monday,Fall,7788
11/2/2022,9,10,Wind,306.0,Wednesday,Fall,5751
7/5/2021,11,12,Solar,186.0,Monday,Summer,7031
7/5/2025,9,10,Solar,186.0,Saturday,Summer,6839
6/23/2024,5,6,Wind,175.0,Sunday,Summer,2326
1/22/2023,8,9,Wind,22.0,Sunday,Winter,5974
9/27/2020,18,19,Wind,271.0,Sunday,Fall,8052
7/28/2020,7,8,Wind,210.0,Tuesday,Summer,3211
5/22/2025,5,6,Wind,142.0,Thursday,Spring,5212
8/13/2024,22,23,Wind,226.0,Tuesday,Summer,1520
7/2/2020,23,0,Wind,184.0,Thursday,Summer,3158
8/28/2024,22,23,Wind,241.0,Wednesday,Summer,2348
4/27/2025,16,17,Solar,117.0,Sunday,Spring,3352
02/27/2028,19,20,Wind,277.0,Monday,Fall,-100
10/18/2023,9,10,Wind,291.0,Wednesday,Fall,11888
6/11/2025,20,21,Wind,162.0,Wednesday,Summer,5029
10/20/2021,23,0,Wind,293.0,Wednesday,Fall,14105
8/20/2024,9,10,Solar,233.0,Tuesday,Summer,6256
7/7/2022,11,12,Solar,188.0,Thursday,Summer,8621
11/20/2024,12,13,Wind,325.0,Wednesday,Fall,9330
2/28/2025,22,23,Wind,59.0,Friday,Winter,7187
4/17/2022,9,10,Wind,107.0,Sunday,Spring,6232
10/3/2024,1,2,Wind,277.0,Thursday,Fall,4843
11/25/2025,0,1,Wind,329.0,Tuesday,Fall,9734
1/25/2023,22,23,Wind,25.0,Wednesday,Winter,1037
11/14/2020,17,18,Wind,319.0,Saturday,Fall,9187
11/23/2023,11,12,Solar,327.0,Thursday,Fall,7232
4/22/2025,21,22,Wind,112.0,Tuesday,Spring,3114
4/30/2025,12,13,Solar,120.0,Wednesday,Spring,5410
2/14/2023,15,16,Solar,45.0,Tuesday,Winter,5164
8/14/2020,0,1,Wind,227.0,Friday,Summer,2144
7/28/2023,19,20,Wind,209.0,Friday,Summer,5624
4/3/2020,1,2,Wind,94.0,Friday,Spring,2592
3/30/2023,21,22,Wind,89.0,Thursday,Spring,9358
2/1/2020,16,17,Wind,32.0,Saturday,Winter,11065
4/3/2020,7,8,Wind,94.0,Friday,Spring,1864
5/12/2020,12,13,Wind,133.0,Tuesday,Spring,5747
3/6/2025,22,23,Wind,65.0,Thursday,Spring,10880
8/9/2020,7,8,xyz,222.0,Sunday,Summer,963
2/18/2022,15,16,Wind,49.0,Friday,Winter,14791
02/27/2028,19,20,xyz,83.0,Wednesday,Spring,40000
11/16/2021,18,19,Wind,320.0,Tuesday,Fall,1101
9/13/2020,12,13,Solar,257.0,Sunday,Fall,3974
1/2/2020,21,22,Wind,2.0,Thursday,Winter,6813
1/13/2021,14,15,Wind,13.0,Wednesday,Winter,8363
12/7/2022,0,1,Wind,341.0,Wednesday,Winter,2427
5/24/2024,2,3,Wind,145.0,Friday,Spring,858
10/8/2021,17,18,,281.0,Friday,Fall,40000
1/1/2021,4,5,Wind,1.0,Friday,Winter,998
10/24/2025,20,21,Wind,297.0,,Fall,12993
9/10/2024,0,1,Wind,254.0,Tuesday,Fall,4683
8/28/2021,6,7,Wind,240.0,Saturday,Summer,3722
10/4/2022,1,2,Wind,277.0,Tuesday,Fall,1416
11/27/2024,3,4,Wind,332.0,Wednesday,Fall,11127
02/27/2028,0,1,xyz,49.0,Friday,Winter,-100
4/13/2024,7,8,Wind,104.0,Saturday,Spring,2307
4/26/2024,22,23,Wind,117.0,Friday,Spring,3763
5/28/2021,17,18,Solar,148.0,Friday,Spring,3776
,xyz,16,Solar,43.0,Sunday,Winter,40000
02/27/2028,7,xyz,Wind,183.0,,Summer,-100
10/21/2022,2,3,Wind,294.0,Friday,Fall,7894
5/19/2024,23,0,Wind,140.0,Sunday,Spring,1146
6/6/2022,4,5,Wind,157.0,Monday,Summer,1864
2/9/2023,6,7,Wind,40.0,Thursday,Winter,1172
3/3/2023,2,3,Wind,62.0,Friday,Spring,4064
5/31/2021,0,1,Wind,151.0,Monday,Spring,5070
6/8/2023,15,16,Solar,159.0,Thursday,Summer,8328
11/17/2024,,20,Wind,322.0,Sunday,Fall,5733
10/27/2020,4,5,Wind,301.0,Tuesday,Fall,xyz
7/16/2025,3,4,Wind,197.0,Wednesday,Summer,7222
12/23/2021,5,6,Wind,357.0,Thursday,Winter,6602
12/14/2020,0,1,Wind,349.0,Monday,Winter,9700
4/13/2025,12,13,Wind,103.0,Sunday,Spring,4906
10/16/2024,xyz,,Wind,290.0,Wednesday,Fall,11196
4/6/2023,9,10,Wind,96.0,Thursday,Spring,4765
9/3/2023,0,1,Wind,246.0,Sunday,Fall,4539
12/9/2021,16,17,Wind,343.0,Thursday,Winter,5379
12/26/2023,6,7,Wind,360.0,Tuesday,Winter,9160
5/27/2023,17,18,Solar,147.0,Saturday,Spring,6146
11/11/2023,13,14,Solar,315.0,Saturday,Fall,5880
5/22/2023,22,23,Wind,142.0,Monday,Spring,5407
4/25/2025,1,2,Wind,115.0,Friday,Spring,3293
6/30/2022,0,1,Wind,181.0,Thursday,Summer,1528
8/21/2025,0,1,Wind,233.0,Thursday,Summer,3450
2/5/2020,18,19,Wind,36.0,Wednesday,Winter,1769
10/17/2024,8,9,Wind,291.0,Thursday,Fall,3165
11/14/2020,19,20,Wind,319.0,Saturday,Fall,11103
02/27/2028,15,16,Solar,167.0,xyz,Summer,xyz
1/2/2025,0,1,xyz,2.0,Thursday,Winter,
11/3/2020,0,1,Wind,308.0,Tuesday,Fall,3597
12/8/2024,2,3,Wind,343.0,Sunday,Winter,xyz
02/27/2028,8,9,xyz,219.0,Sunday,Summer,-100
2/22/2021,1,2,Wind,53.0,Monday,Winter,7591
10/26/2020,21,22,Wind,300.0,Monday,Fall,7511
8/26/2022,10,11,Solar,238.0,Friday,Summer,5642
02/27/2028,6,7,Wind,336.0,Tuesday,Winter,-100
10/14/2020,8,xyz,Wind,288.0,Wednesday,Fall,40000
12/31/2022,4,5,Wind,365.0,Saturday,Winter,15764
8/29/2024,12,13,Solar,242.0,Thursday,Summer,6094
4/20/2023,18,19,Wind,110.0,Thursday,Spring,6268
2/17/2020,1,2,Wind,48.0,Monday,Winter,8444
4/24/2024,15,16,Wind,115.0,Wednesday,Spring,11510
8/8/2025,2,3,Wind,220.0,Friday,xyz,1497
6/15/2022,22,23,Wind,166.0,Wednesday,Summer,2879
8/8/2025,6,7,Wind,220.0,Friday,Summer,1464
1/19/2023,0,1,Wind,19.0,Thursday,Winter,3941
2/26/2022,21,22,Wind,57.0,Saturday,Winter,9716
9/20/2022,22,23,Wind,263.0,Tuesday,Fall,2922
7/5/2021,12,13,Solar,186.0,Monday,Summer,7806
5/26/2022,5,6,Wind,146.0,Thursday,Spring,40000
11/24/2024,10,11,Wind,329.0,Sunday,Fall,21544
12/7/2020,22,23,Wind,342.0,Monday,Winter,3434
2/10/2020,4,5,Wind,41.0,Monday,Winter,10052
3/7/2022,16,17,Wind,66.0,Monday,Spring,9049
7/28/2025,12,13,Solar,209.0,Monday,Summer,11478
4/5/2025,20,21,Wind,95.0,Saturday,Spring,6463
8/16/2023,7,8,Wind,228.0,Wednesday,Summer,2047
7/15/2021,4,5,Wind,196.0,Thursday,Summer,7756
8/21/2025,1,2,Wind,233.0,Thursday,Summer,3653
5/17/2021,8,9,Wind,137.0,Monday,Spring,11934
6/2/2023,2,3,Wind,153.0,Friday,Summer,7043
6/19/2021,15,16,Solar,170.0,Saturday,Summer,4434
9/16/2021,18,19,Solar,259.0,Thursday,Fall,1495
3/13/2023,8,9,Wind,72.0,Monday,Spring,15437
7/23/2020,4,5,Wind,205.0,Thursday,Summer,1527
8/9/2022,2,3,Wind,221.0,Tuesday,Summer,6809
5/11/2020,18,19,Wind,132.0,Monday,Spring,11450
7/20/2023,19,20,Wind,201.0,Thursday,Summer,3428
11/6/2021,7,8,Wind,310.0,Saturday,Fall,2797
11/15/2020,21,22,Wind,320.0,Sunday,Fall,12149
8/22/2020,3,4,Wind,235.0,Saturday,Summer,4955
