Date,Start_Hour,End_Hour,Source,Day_of_Year,Day_Name,Month_Name,Production
7/24/2023,16,17,Wind,205,Monday,July,12571
1/14/2023,13,14,Wind,14,Saturday,January,18977
11/25/2021,1,2,Wind,329,Thursday,November,1632
9/3/2021,0,1,Wind,246,Friday,September,4070
11/20/2025,16,17,Wind,324,Thursday,November,4331
11/13/2021,1,2,Wind,317,Saturday,November,6352
8/2/2025,19,20,Wind,214,Saturday,August,5288
1/17/2025,14,15,Solar,17,Friday,January,4844
4/13/2021,6,7,Wind,103,Tuesday,April,2924
10/20/2022,10,11,Wind,293,Thursday,October,6776
1/15/2024,17,18,Wind,15,Monday,January,3318
4/21/2021,0,1,Wind,111,Wednesday,April,1945
11/23/2023,3,4,Wind,327,Thursday,November,2908
4/1/2024,9,10,Wind,92,Monday,April,8813
2/5/2024,10,11,Wind,36,Monday,February,7951
6/29/2022,19,20,Wind,180,Wednesday,June,2697
5/3/2020,15,16,Solar,124,Sunday,May,4887
4/27/2025,3,4,Wind,117,Sunday,April,4101
8/11/2025,17,18,Solar,223,Monday,August,8482
2/27/2024,21,22,Wind,58,Tuesday,February,5106
3/13/2022,7,8,Wind,72,Sunday,March,9416
11/27/2025,11,12,Wind,331,Thursday,November,12038
3/27/2023,11,12,Solar,86,Monday,March,7619
5/27/2020,4,5,Wind,148,Wednesday,May,3704
9/6/2025,1,2,Wind,249,Saturday,September,2858
2/19/2021,20,21,Wind,50,Friday,February,8423
3/24/2023,4,5,Wind,83,Friday,March,11234
11/22/2021,1,2,Wind,326,Monday,November,6802
4/7/2020,7,8,Wind,98,Tuesday,April,2348
5/21/2024,2,3,Wind,142,Tuesday,May,2303
1/4/2023,6,7,Wind,4,Wednesday,January,14520
3/21/2020,22,23,Wind,81,Saturday,March,8214
6/17/2022,17,18,Solar,168,Friday,June,4670
7/22/2022,3,4,Wind,203,Friday,July,3179
3/24/2022,21,22,Wind,83,Thursday,March,5931
8/3/2023,19,20,Wind,215,Thursday,August,5818
8/1/2020,10,11,Solar,214,Saturday,August,3111
3/18/2023,4,5,Wind,77,Saturday,March,7193
3/14/2025,16,17,Wind,73,Friday,March,7438
12/31/2020,5,6,Wind,366,Thursday,December,5269
6/23/2022,15,16,Solar,174,Thursday,June,5474
3/4/2023,0,1,Wind,63,Saturday,March,4975
9/17/2020,21,22,Wind,261,Thursday,September,8334
11/7/2023,13,14,Wind,311,Tuesday,November,13048
10/6/2022,9,10,Solar,279,Thursday,October,2478
11/29/2020,7,8,Wind,334,Sunday,November,4438
12/27/2020,13,14,Wind,362,Sunday,December,12383
5/12/2021,22,23,Wind,132,Wednesday,May,3895
3/6/2021,11,12,Wind,65,Saturday,March,7105
7/22/2023,12,13,Solar,203,Saturday,July,11660
2/4/2022,10,11,Wind,35,Friday,February,10097
4/8/2021,13,14,Solar,98,Thursday,April,5166
2/13/2023,11,12,Solar,44,Monday,February,6394
4/24/2020,20,21,Wind,115,Friday,April,1532
5/23/2023,23,0,Wind,143,Tuesday,May,7120
12/2/2024,15,16,Wind,337,Monday,December,10171
1/21/2023,10,11,Wind,21,Saturday,January,10322
1/21/2022,17,18,Wind,21,Friday,January,3775
6/9/2025,14,15,Solar,160,Monday,June,4717
4/28/2022,11,12,Solar,118,Thursday,April,7004
9/24/2024,8,9,Wind,268,Tuesday,September,7843
4/10/2021,6,7,Wind,100,Saturday,April,3816
5/4/2022,12,13,Solar,124,Wednesday,May,5228
11/15/2021,12,13,Wind,319,Monday,November,3981
1/20/2022,9,10,Wind,20,Thursday,January,3974
7/7/2024,12,13,Solar,189,Sunday,July,6230
3/28/2021,6,7,Wind,87,Sunday,March,3455
1/27/2020,10,11,Wind,27,Monday,January,8786
2/25/2024,19,20,Wind,56,Sunday,February,13570
3/16/2023,5,6,Wind,75,Thursday,March,7861
4/30/2025,18,19,Solar,120,Wednesday,April,7085
3/1/2021,2,3,Wind,60,Monday,March,5388
12/18/2024,10,11,Wind,353,Wednesday,December,16772
3/27/2025,13,14,Solar,86,Thursday,March,10020
11/19/2021,12,13,Solar,323,Friday,November,3706
9/3/2021,17,18,Solar,246,Friday,September,2314
6/23/2025,16,17,Wind,174,Monday,June,8406
2/14/2020,2,3,Wind,45,Friday,February,7293
5/10/2024,18,19,Solar,131,Friday,May,6868
2/10/2020,23,0,Wind,41,Monday,February,13054
12/1/2024,21,22,Wind,336,Sunday,December,8006
8/28/2021,19,20,Wind,240,Saturday,August,5798
1/28/2023,12,13,Wind,28,Saturday,January,7646
3/31/2023,7,8,Wind,90,Friday,March,16756
9/8/2021,3,4,Wind,251,Wednesday,September,5324
1/18/2021,21,22,Wind,18,Monday,January,6792
6/30/2020,15,16,Wind,182,Tuesday,June,8793
6/28/2020,8,9,Wind,180,Sunday,June,4863
2/6/2024,10,11,Wind,37,Tuesday,February,13811
10/31/2025,1,2,Wind,304,Friday,October,10444
7/5/2024,21,22,Wind,187,Friday,July,3608
3/10/2022,16,17,Wind,69,Thursday,March,5926
3/16/2020,5,6,Wind,76,Monday,March,3361
9/30/2022,4,5,Wind,273,Friday,September,967
4/29/2025,7,8,Wind,119,Tuesday,April,5440
4/13/2021,10,11,Solar,103,Tuesday,April,5861
8/3/2021,10,11,Solar,215,Tuesday,August,3111
8/27/2025,22,23,Wind,239,Wednesday,August,1830
12/18/2023,11,12,Solar,352,Monday,December,5259
4/22/2025,0,1,Wind,112,Tuesday,April,2609
5/21/2025,13,14,Solar,141,Wednesday,May,9170
10/7/2021,17,18,Solar,280,Thursday,October,3773
5/17/2020,20,21,Wind,138,Sunday,May,2136
4/30/2020,14,15,Wind,121,Thursday,April,12735
4/11/2022,12,13,Wind,101,Monday,April,12327
5/11/2020,2,3,Wind,132,Monday,May,9685
4/12/2025,11,12,Wind,102,Saturday,April,10775
12/6/2024,18,19,Wind,341,Friday,December,7896
1/31/2021,9,10,Wind,31,Sunday,January,2875
11/27/2020,0,1,Wind,332,Friday,November,1721
1/20/2021,20,21,Wind,20,Wednesday,January,14971
9/1/2020,17,18,Solar,245,Tuesday,September,3886
12/13/2020,21,22,Wind,348,Sunday,December,9848
1/19/2023,13,14,Wind,19,Thursday,January,4134
3/8/2021,10,11,Solar,67,Monday,March,3967
9/7/2020,15,16,Solar,251,Monday,September,4909
5/31/2024,3,4,Wind,152,Friday,May,5616
3/5/2025,8,9,Wind,64,Wednesday,March,4726
10/20/2020,10,11,Wind,294,Tuesday,October,9786
3/24/2023,14,15,Wind,83,Friday,March,18112
5/3/2025,2,3,Wind,123,Saturday,May,7117
8/13/2020,21,22,Wind,226,Thursday,August,2410
10/25/2020,13,14,Wind,299,Sunday,October,7456
12/3/2020,21,22,Wind,338,Thursday,December,12426
12/16/2022,21,22,Wind,350,Friday,December,2942
9/28/2024,22,23,Wind,272,Saturday,September,816
10/4/2021,16,17,Wind,277,Monday,October,7226
7/13/2023,17,18,Solar,194,Thursday,July,7303
4/18/2023,3,4,Wind,108,Tuesday,April,7089
2/14/2024,6,7,Wind,45,Wednesday,February,8311
1/28/2021,19,20,Wind,28,Thursday,January,9114
3/22/2022,17,18,Wind,81,Tuesday,March,5210
7/12/2023,10,11,Solar,193,Wednesday,July,6584
6/26/2025,16,17,Wind,177,Thursday,June,15054
5/7/2025,19,20,Wind,127,Wednesday,May,6462
11/13/2025,3,4,Wind,317,Thursday,November,11881
12/13/2022,1,2,Wind,347,Tuesday,December,7021
2/24/2023,7,8,Wind,55,Friday,February,4906
5/11/2021,17,18,Wind,131,Tuesday,May,8922
5/12/2023,9,10,Solar,132,Friday,May,5727
10/21/2023,16,17,Wind,294,Saturday,October,18725
4/7/2024,7,8,Wind,98,Sunday,April,7826
12/19/2024,14,15,Wind,354,Thursday,December,19122
3/3/2021,20,21,Wind,62,Wednesday,March,952
3/12/2025,3,4,Wind,71,Wednesday,March,2948
5/3/2023,1,2,Wind,123,Wednesday,May,7917
7/17/2022,5,6,Wind,198,Sunday,July,4761
8/2/2022,18,19,Solar,214,Tuesday,August,3568
10/24/2023,14,15,Wind,297,Tuesday,October,9706
6/23/2020,6,7,Wind,175,Tuesday,June,2469
8/6/2020,17,18,Solar,219,Thursday,August,2950
10/7/2022,1,2,Wind,280,Friday,October,1090
