Date,Start_Hour,End_Hour,Source,Day_of_Year,Day_Name,Month_Name,Season,Production
5/28/2025,20,21,Wind,148.0,Wednesday,May,Spring,8531
11/17/2025,18,19,Wind,321.0,Monday,November,Fall,5739
6/23/2021,18,19,Wind,174.0,Wednesday,June,Summer,40000
1/4/2024,2,3,Wind,4.0,Thursday,January,Winter,14859
2/26/2020,9,10,Wind,57.0,Wednesday,February,Winter,10832
8/4/2022,10,11,Solar,216.0,Thursday,August,Summer,4749
2/13/2025,7,8,Wind,44.0,Thursday,February,Winter,1587
5/26/2025,20,21,Wind,146.0,Monday,May,Spring,4548
12/2/2020,1,2,Wind,337.0,Wednesday,December,Winter,5552
11/4/2025,2,3,Wind,308.0,Tuesday,November,Fall,7867
02/27/2028,xyz,15,Solar,285.0,Wednesday,October,,-100
11/2/2022,4,5,Wind,306.0,Wednesday,November,Fall,7630
3/23/2022,4,5,Wind,82.0,Wednesday,March,Spring,2983
2/15/2025,19,20,Wind,46.0,Saturday,February,Winter,4957
1/9/2024,19,20,Wind,9.0,Tuesday,January,Winter,3663
11/28/2020,12,13,Wind,333.0,Saturday,November,Fall,3819
5/11/2020,21,22,Wind,,Monday,May,Spring,8357
5/19/2021,15,16,Wind,139.0,Wednesday,May,Spring,10673
5/13/2020,21,22,Wind,134.0,Wednesday,May,Spring,7166
1/13/2024,22,23,Wind,13.0,Saturday,January,Winter,531
9/4/2021,11,12,Solar,247.0,Saturday,September,Fall,3621
10/28/2022,9,10,Wind,301.0,Friday,October,Fall,9370
3/28/2022,18,19,Wind,87.0,Monday,March,Spring,2152
7/10/2024,17,18,Solar,192.0,Wednesday,July,Summer,7549
3/27/2021,13,14,Wind,86.0,Saturday,March,Spring,11786
3/6/2022,3,4,Wind,65.0,Sunday,March,Spring,3742
12/31/2021,19,20,Wind,365.0,Friday,December,Winter,3870
02/27/2028,xyz,2,Wind,309.0,Monday,November,Fall,-100
5/15/2022,8,9,Wind,135.0,Sunday,May,Spring,5141
5/23/2020,17,18,Wind,144.0,Saturday,May,Spring,8350
5/27/2025,11,12,Wind,147.0,Tuesday,May,Spring,16112
3/11/2025,15,16,Wind,70.0,Tuesday,March,Spring,6679
2/19/2024,21,22,Wind,50.0,Monday,February,Winter,5491
10/16/2024,8,9,Wind,290.0,Wednesday,October,Fall,11718
9/25/2021,11,12,Solar,268.0,Saturday,September,Fall,3651
7/29/2022,5,6,Wind,210.0,Friday,July,Summer,697
8/26/2021,12,13,Solar,238.0,Thursday,August,Summer,7748
8/28/2022,14,15,Solar,240.0,Sunday,August,Summer,8706
10/23/2021,5,6,Wind,296.0,Saturday,October,Fall,1407
11/28/2023,7,8,Wind,332.0,Tuesday,November,Fall,8732
2/1/2025,14,15,Solar,32.0,Saturday,February,Winter,5418
12/30/2021,2,3,Wind,364.0,Thursday,xyz,Winter,9780
8/17/2025,18,19,Wind,229.0,Sunday,August,Summer,7997
10/15/2022,22,23,Wind,288.0,Saturday,October,Fall,4948
11/22/2024,19,20,Wind,327.0,Friday,November,Fall,9866
4/28/2020,10,11,Wind,119.0,Tuesday,April,Spring,7819
12/5/2023,12,13,Wind,339.0,Tuesday,December,Winter,13241
5/29/2023,0,1,Wind,149.0,Monday,May,Spring,9830
9/25/2024,6,7,Wind,269.0,Wednesday,September,Fall,4070
5/17/2023,6,7,Wind,137.0,Wednesday,May,Spring,6266
2/1/2021,10,11,Wind,32.0,Monday,February,Winter,5954
4/21/2021,3,4,Wind,111.0,Wednesday,April,Spring,1385
2/17/2020,10,11,Wind,48.0,Monday,February,Winter,9310
02/27/2028,15,,Solar,298.0,Thursday,October,Fall,-100
2/12/2025,16,17,Solar,43.0,Wednesday,February,Winter,1025
10/10/2021,16,17,Solar,283.0,Sunday,October,Fall,4936
3/27/2025,20,21,Wind,86.0,Thursday,March,Spring,3238
2/3/2025,19,20,Wind,34.0,Monday,February,Winter,1742
,16,17,xyz,327.0,Tuesday,November,Fall,7609
7/1/2022,20,21,Wind,182.0,Friday,July,Summer,1339
8/1/2020,14,15,Solar,214.0,Saturday,August,Summer,4860
5/6/2023,22,23,Wind,126.0,Saturday,May,Spring,1893
6/5/2023,15,16,Solar,156.0,Monday,June,Summer,8451
9/19/2024,4,5,Wind,263.0,Thursday,September,Fall,7855
12/21/2022,2,3,Wind,355.0,Wednesday,December,Winter,5346
10/11/2020,2,3,Wind,285.0,Sunday,October,Fall,3611
7/29/2021,11,12,Solar,210.0,Thursday,July,Summer,7213
12/14/2023,23,0,Wind,348.0,Thursday,December,Winter,3298
1/27/2020,5,6,Wind,27.0,Monday,January,Winter,8149
9/29/2020,16,17,Solar,273.0,Tuesday,September,Fall,2944
11/22/2024,4,5,Wind,327.0,Friday,November,Fall,7538
5/16/2025,22,23,Wind,136.0,Friday,May,Spring,8198
,0,1,Wind,271.0,Thursday,September,Fall,5305
8/16/2024,22,23,Wind,229.0,Friday,August,Summer,1337
11/8/2023,1,2,Wind,312.0,Wednesday,November,Fall,7745
6/15/2022,2,3,Wind,166.0,Wednesday,June,Summer,3483
8/29/2024,1,2,Wind,242.0,Thursday,August,Summer,2689
5/12/2025,19,20,Solar,132.0,Monday,May,Spring,2644
2/3/2021,5,6,Wind,34.0,Wednesday,February,Winter,8549
12/23/2022,6,7,Wind,,Friday,December,Winter,7796
5/24/2021,9,10,Wind,144.0,Monday,May,Spring,8574
7/28/2021,2,3,Wind,209.0,Wednesday,July,Summer,3551
4/2/2021,23,0,Wind,92.0,Friday,April,Spring,10462
3/9/2023,13,14,Wind,68.0,Thursday,March,Spring,17942
,xyz,8,Wind,229.0,Sunday,August,Summer,6151
2/28/2020,8,9,Wind,59.0,Friday,February,Winter,5483
5/6/2025,16,17,Wind,126.0,Tuesday,May,Spring,7760
11/24/2020,8,9,Wind,329.0,Tuesday,November,Fall,2734
8/27/2021,1,2,Wind,239.0,Friday,August,Summer,3784
12/9/2020,20,21,Wind,344.0,Wednesday,December,Winter,3689
9/18/2024,14,15,Wind,262.0,Wednesday,September,Fall,16993
3/14/2022,15,16,Wind,73.0,Monday,March,Spring,4611
1/4/2022,3,4,Wind,4.0,Tuesday,January,Winter,7525
4/11/2020,1,2,Wind,102.0,Saturday,April,Spring,3336
