Date,Start_Hour,End_Hour,Source,Day_of_Year,Day_Name,Month_Name,Season,Production
6/16/2021,18,19,Solar,167,Wednesday,June,Summer,3947.7199999999993
6/8/2020,10,11,Solar,160,Monday,June,Summer,5767.019999999999
4/8/2025,10,11,Solar,98,Tuesday,April,Spring,11418.119999999999
6/30/2023,9,10,Solar,181,Friday,June,Summer,6578.459999999999
6/20/2020,11,12,Solar,172,Saturday,June,Summer,6493.129999999999
8/4/2023,12,13,Solar,216,Friday,August,Summer,13755.839999999997
4/2/2020,15,16,Solar,93,Thursday,April,Spring,6712.089999999999
9/13/2024,14,15,Solar,257,Friday,September,Fall,18357.219999999998
9/13/2020,15,16,Solar,257,Sunday,September,Fall,6058.429999999999
1/19/2025,15,16,Solar,19,Sunday,January,Winter,4503.169999999999
9/10/2022,11,12,Solar,253,Saturday,September,Fall,12767.3
6/20/2022,15,16,Solar,171,Monday,June,Summer,11978.4
2/13/2025,13,14,Solar,44,Thursday,February,Winter,7829.429999999999
1/29/2023,10,11,Solar,29,Sunday,January,Winter,4652.899999999999
3/6/2023,10,11,Solar,65,Monday,March,Spring,6839.28
1/30/2022,13,14,Solar,30,Sunday,January,Winter,6039.109999999999
6/28/2023,16,17,Solar,179,Wednesday,June,Summer,10146.219999999998
7/13/2023,11,12,Solar,194,Thursday,July,Summer,13620.599999999999
12/15/2023,14,15,Solar,349,Friday,December,Winter,5958.609999999999
6/23/2023,9,10,Solar,174,Friday,June,Summer,6942.319999999999
2/20/2023,16,17,Solar,51,Monday,February,Winter,6541.429999999999
4/15/2021,13,14,Solar,105,Thursday,April,Spring,14332.219999999998
7/30/2024,15,16,Solar,212,Tuesday,July,Summer,10637.269999999999
1/25/2024,13,14,Solar,25,Thursday,January,Winter,13174.629999999997
8/8/2024,16,17,Solar,221,Thursday,August,Summer,14285.529999999997
6/23/2021,13,14,Solar,174,Wednesday,June,Summer,7272.369999999998
2/20/2023,11,12,Solar,51,Monday,February,Winter,10946.39
8/1/2024,18,19,Solar,214,Thursday,August,Summer,9474.849999999999
5/15/2024,13,14,Solar,136,Wednesday,May,Spring,10593.799999999997
10/17/2024,12,13,Solar,291,Thursday,October,Fall,5372.57
7/30/2020,13,14,Solar,212,Thursday,July,Summer,7290.079999999999
8/4/2021,14,15,Solar,216,Wednesday,August,Summer,5372.57
8/1/2022,17,18,Solar,213,Monday,August,Summer,8331.749999999998
3/15/2023,16,17,Solar,74,Wednesday,March,Spring,7848.749999999999
9/10/2023,16,17,Solar,253,Sunday,September,Fall,10492.369999999999
4/29/2021,12,13,Solar,119,Thursday,April,Spring,6821.569999999999
3/22/2024,8,9,Solar,82,Friday,March,Spring,6555.919999999998
7/19/2021,10,11,Solar,200,Monday,July,Summer,8854.999999999998
10/18/2021,11,12,Solar,291,Monday,October,Fall,8172.359999999999
4/17/2025,12,13,Solar,107,Thursday,April,Spring,13633.479999999998
12/25/2021,15,16,Solar,359,Saturday,December,Winter,1969.0299999999995
10/15/2021,14,15,Solar,288,Friday,October,Fall,6953.589999999999
9/29/2025,13,14,Solar,272,Monday,September,Fall,14778.189999999997
1/13/2024,13,14,Solar,13,Saturday,January,Winter,6377.209999999999
4/29/2021,12,13,Solar,119,Thursday,April,Spring,6821.569999999999
11/5/2024,16,17,Solar,310,Tuesday,November,Fall,1230.0399999999997
